Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,on File,5/6/2021,Retail Crypto‐Backed Loan,,,,Y,"$37,781.14",102
Name on File,Address on File,on File,5/1/2020,BPC Open and/or Term Loan,,,,,$0.28,102
Name on File,Address on File,on File,5/14/2020,Retail Crypto‐Backed Loan,,,,Y,"$79,082.10",102
Name on File,Address on File,on File,3/17/2021,Retail Crypto‐Backed Loan,,,,Y,"$30,305.90",102
Name on File,Address on File,on File,3/10/2021,Retail Crypto‐Backed Loan,,,,Y,"$43,643.57",102
Name on File,Address on File,on File,12/10/2020,Retail Crypto‐Backed Loan,,,,Y,"$10,372.03",102
Name on File,Address on File,on File,2/18/2021,Retail Crypto‐Backed Loan,,,,Y,"$14,282.21",102
Name on File,Address on File,on File,9/16/2019,Retail Crypto‐Backed Loan,,,,Y,"$58,837.14",102
Name on File,Address on File,on File,1/28/2021,Retail Crypto‐Backed Loan,,,,Y,"$95,539.08",102
Name on File,Address on File,on File,11/2/2021,Retail Crypto‐Backed Loan,,,,Y,"$26,783.12",102
Name on File,Address on File,on File,12/10/2018,Retail Crypto‐Backed Loan,,,,Y,"$18,402.51",102
Name on File,Address on File,on File,1/24/2021,Retail Crypto‐Backed Loan,,,,Y,"$67,418.21",102
Name on File,Address on File,on File,2/25/2021,Retail Crypto‐Backed Loan,,,,Y,"$7,082.56",102
Name on File,Address on File,on File,3/11/2021,Retail Crypto‐Backed Loan,,,,Y,"$135,172.92",102
Name on File,Address on File,on File,2/3/2021,Institutional Loan,Y,Y,Y,Y,"$668,014.00",102
Name on File,Address on File,on File,12/11/2020,Retail Crypto‐Backed Loan,,,,Y,"$36,302.11",102
Name on File,Address on File,on File,5/19/2020,BPC Open and/or Term Loan,,,,,$156.58,102
Name on File,Address on File,on File,5/19/2020,Retail Crypto‐Backed Loan,,,,Y,"$444,300.11",102
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.45,102
Name on File,Address on File,on File,5/10/2020,Retail Crypto‐Backed Loan,,,,Y,"$9,491.76",102
Utah Corporations & Commercial Code,160 E 300 South Second Floor Salt Lake City UT 84111,0010,04/28/22,Regulatory settlement outstanding payments,,,,,"$566,037.74",102
Name on File,Address on File,on File,11/26/2020,Retail Crypto‐Backed Loan,,,,Y,"$1,284.46",102
Name on File,Address on File,on File,3/30/2022,Retail Crypto‐Backed Loan,,,,Y,"$18,915.18",102
Name on File,Address on File,on File,4/7/2021,Retail Crypto‐Backed Loan,,,,Y,"$7,328.37",102
Name on File,Address on File,on File,2/13/2021,Retail Crypto‐Backed Loan,,,,Y,"$42,610.67",102
Name on File,Address on File,on File,2/26/2021,Retail Crypto‐Backed Loan,,,,Y,"$78,600.56",102
