Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$73.47,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.02,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$1.29,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$12.49,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$3.83,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$4.67,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$11.85,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.36,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$6.52,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$6.76,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$9.04,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$1.65,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$389.08,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$20.24,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,"$1,675.16",103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$99.73,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$3.42,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$13.32,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$9.87,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.13,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$522.90,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$16.99,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.48,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$2.00,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$3.80,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.03,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$1.32,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$7.49,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$1.43,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.04,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$14.48,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$2.25,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.91,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$3.45,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$22.78,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.33,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.82,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$2.94,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.02,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$65.93,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$6.04,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$41.47,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.45,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.19,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$3.80,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$35.61,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.38,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$16.57,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.01,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$7.89,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$9.14,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.05,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$12.59,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.12,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$109.48,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$6.22,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$8.49,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$15.16,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.49,103
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$5.28,104
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$44.61,104
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$152.71,104
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$97.27,104
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.08,104
